bill,year,,support_spent,oppose_spent,neutral_spent,support_hhi,oppose_hhi,neutral_hhi
h01936,2011,187,0,0,857.1428571,,,1
s00579,2011,187,545.4545455,0,0,1,,
s00578,2011,187,0,0,103.4482759,,,1
h00042,2011,187,9989.455863,0,8702.898665,0.351605912,,0.342083374
h04010,2011,187,25.23887464,0,1449.320169,1,,0.568445146
h03806,2011,187,11642.85714,0,756.5072375,0.757612255,,0.903581318
h00040,2011,187,11402.53225,385,4742.886165,0.656819555,1,0.704053536
h01075,2011,187,1779.37,0,0,1,,
h00079,2011,187,555.5555556,0,103.4482759,1,,1
h00078,2011,187,0,0,513.6355094,,,0.927382126
h01072,2011,187,0,0,361.8096306,,,1
h01073,2011,187,19800,0,0,1,,
h04277,2011,187,0,0,27.8307888,,,1
h00510,2011,187,0,0,144.1604506,,,0.505508668
h00071,2011,187,2515.601481,7666.666667,494.2546584,1,0.65973535,1
h05028,2011,187,0,0,27.8307888,,,1
h00077,2011,187,14300.21455,1241.07,8.924427966,0.25495891,1,1
h01079,2011,187,0,0,7195.360195,,,1
h00075,2011,187,13286.25541,0,665.5474919,0.571164631,,0.576876477
h00511,2011,187,293.5675,0,0,1,,
h00305,2011,187,29002.78511,1469.69697,5591.756218,0.080158157,0.649271974,0.533283585
h00304,2011,187,10525.16938,19174.51431,36027.4537,0.524273971,0.118662029,0.825725195
h00307,2011,187,10693.71138,0,5139.832352,0.212597635,,0.294104827
h00306,2011,187,71403.40716,0,1689.035163,0.187896993,,0.327807014
h00301,2011,187,4806.133994,15933.64377,11903.83828,0.375712426,0.206492766,0.2393731
h00300,2011,187,3439.821429,0,4488.252671,1,,0.650996703
h00303,2011,187,18928.24,0,7768.885812,0.937556201,,0.286254265
h00302,2011,187,24366.93082,3951.7133,3585.690801,0.281690081,0.200463024,0.441169485
s01299,2011,187,200,0,0,1,,
s01298,2011,187,3292.155518,0,0,0.732137094,,
h00309,2011,187,31193.3344,19081.82187,12646.87492,0.086191772,0.533427898,0.489506302
h00308,2011,187,0,21112.20967,583.3975063,,0.470677409,0.375315639
h00095,2011,187,0,0,597.7511559,,,1
h00094,2011,187,0,0,38.42213115,,,1
h04207,2011,187,0,9165.378939,2196.105919,,0.38217496,0.347955634
h00091,2011,187,81829.69503,14472.12319,7222.473646,0.504990157,0.103360783,0.50238583
h00090,2011,187,0,0,4789.037145,,,0.501034608
h00092,2011,187,1311.259755,11864.77623,380.2145305,0.732348438,0.581493138,0.452192472
h01966,2011,187,0,8083.333333,132.906345,,1,1
h00099,2011,187,46125,0,5652.026407,0.973266941,,0.498261826
h00098,2011,187,0,0,8300.900322,,,0.268552081
h03115,2011,187,0,0,6961.571429,,,1
h03979,2011,187,6265.758662,0,53943.33333,0.507991331,,0.600026103
h03971,2011,187,0,0,38.42213115,,,1
h04096,2011,187,6627.071429,5626.616632,11524.25264,1,0.802116722,0.253602271
h03975,2011,187,183.3333333,0,0,1,,
h01579,2011,187,0,0,1560.856084,,,0.2956195
h03409,2011,187,1500,506.2985617,79.90815155,1,0.575407935,1
h03408,2011,187,33.0514924,0,104.5609651,1,,0.500041077
h04973,2011,187,0,0,27.8307888,,,1
h03403,2011,187,0,0,625,,,1
h03401,2011,187,468987.4602,58567.55743,567907.6396,0.065286928,0.22417351,0.018317607
h03400,2011,187,506859.7381,134628.7554,719279.4501,0.032983272,0.191199195,0.021196884
h03407,2011,187,0,353.3333333,11803.16739,,0.5,1
h03406,2011,187,0,1800,0,,1,
h03995,2011,187,39004.03,13754.72133,6840.813791,0.481981925,0.17291634,0.248466514
h03878,2011,187,13227.29999,210.5,66312.57346,0.436255297,1,0.495055502
h03992,2011,187,2500,0,0,1,,
s02168,2011,187,278,1625,840,1,0.50295858,0.510204082
h03998,2011,187,0,0,54.16666667,,,1
h04326,2011,187,0,4829.60209,2676.67,,0.113673135,1
s01147,2011,187,2847.390139,0,0,0.294818895,,
h03893,2011,187,0,0,1063.038182,,,1
s01589,2011,187,8946.084451,0,0,1,,
h00898,2011,187,0,0,1755.307848,,,0.524894724
h02832,2011,187,0,0,774.1185745,,,0.930681865
s01585,2011,187,0,0,17108.97676,,,0.637556085
h00894,2011,187,0,56.07285714,0,,0.777683445,
s01587,2011,187,0,450,7978.20323,,1,0.368095452
h00896,2011,187,0,0,38.42213115,,,1
h00891,2011,187,0,0,303.7974684,,,1
h00890,2011,187,67661.925,47524.93757,16313.5194,0.1113744,0.225218423,0.282840868
s01582,2011,187,0,5928.087143,33265.88,,0.511330095,1
h02303,2011,187,4958.372079,0,2978.781868,0.832203678,,0.235694875
h00166,2011,187,0,0,74,,,1
s00199,2011,187,6793.043478,0,0,1,,
s00198,2011,187,1115,8831.697873,0,0.513764604,0.493587674,
s01349,2011,187,5593,0,106.9688777,0.905209217,,0.615030617
h01479,2011,187,607.8333333,0,363.6363636,0.679145519,,1
s01347,2011,187,10115.98681,0,0,1,,
s01346,2011,187,5307,0,27.8307888,1,,1
s00197,2011,187,5181.320346,0,18.22875,0.931888543,,1
s01167,2011,187,0,0,273.466371,,,1
s00191,2011,187,4105.601849,0,1356.968851,0.504418334,,0.77341186
s00190,2011,187,26218.95901,0,1194.916344,0.197664224,,0.954502954
s00193,2011,187,2002.498333,0,3297.129989,0.439158101,,0.068207631
s00192,2011,187,1079.399702,0,3732.036905,0.528096042,,0.458529587
h03577,2011,187,0,0,1561.071899,,,0.481123066
h03898,2011,187,33989.89205,1826,15382.20777,0.300038953,0.504540116,0.199792021
h03575,2011,187,6509.418929,0,0,1,,
h02652,2011,187,0,0,1384.267708,,,1
h03573,2011,187,47467.27756,0,1683.560035,0.644852719,,0.668150167
s00359,2011,187,0,0,51.80661927,,,1
s00357,2011,187,943.9087879,39736.75,9437.66023,0.857829876,0.394063836,0.384044065
h00136,2011,187,411.7647059,0,0,1,,
s00355,2011,187,380,0,0,0.501385042,,
s00354,2011,187,833.14,5539.528279,8865.743281,1,0.98635524,0.299732095
s00353,2011,187,129.8333333,28916.20977,5260.4077,1,0.348102147,0.135430546
s00352,2011,187,2602.264468,15537.6545,53763.58678,0.433275528,0.293131611,0.137921932
s00351,2011,187,6614.667174,0,104.5609651,0.441841355,,0.500041077
s00350,2011,187,1987.065,4295.825,865.1291056,0.528125896,1,0.228693609
h03199,2011,187,0,0,335.9135555,,,0.312179297
h03198,2011,187,0,0,38.42213115,,,1
h01929,2011,187,13000,0,0,0.857988166,,
h03191,2011,187,11453.00349,0,0,0.657197213,,
h03190,2011,187,0,0,79.13808892,,,1
h03192,2011,187,10115.98681,0,0,1,,
h02659,2011,187,129.59,0,1185.432368,1,,0.429577132
h04403,2011,187,0,0,406.25,,,1
h02658,2011,187,0,48.93,0,,1,
h03357,2011,187,0,0,104.5609651,,,0.500041077
h03356,2011,187,0,0,104.5609651,,,0.500041077
h03355,2011,187,2047.619048,0,2630.826275,0.545700379,,0.836154637
h03354,2011,187,4017.623762,2374.411328,2166.616021,0.160439334,1,0.184048993
h03353,2011,187,23.07526882,1569.119953,241.0775904,1,0.955410406,0.334161669
h03352,2011,187,0,380.094,60.32891598,,0.771151738,0.502992661
h03351,2011,187,2388.17,35.66,0,1,1,
s02581,2011,187,0,0,27.8307888,,,1
s02582,2011,187,0,0,27.8307888,,,1
h02308,2011,187,3790.098074,0,179.1597212,0.510789779,,0.397988192
s02584,2011,187,0,0,27.8307888,,,1
s02585,2011,187,0,0,27.8307888,,,1
s02479,2011,187,7870.105,961.13,480,0.442251831,0.507209292,1
s01813,2011,187,64.9,0,0,1,,
s01812,2011,187,2000,0,0,1,,
h03751,2011,187,3245.396814,0,51906.04791,0.338055291,,0.710686879
h03750,2011,187,773.635,0,0,1,,
h04082,2011,187,0,0,5481.153846,,,1
h03756,2011,187,5725.421417,0,27.8307888,0.632028117,,1
h03755,2011,187,35000,0,0,1,,
h03754,2011,187,15868.62746,56526.34208,30370.53694,0.364928081,0.453565321,0.530461197
h03759,2011,187,483.8709677,0,0,1,,
h01477,2011,187,0,755.6861157,3248.794185,,0.367864362,0.310416204
s03695,2011,187,428.5714286,0,0,1,,
h01329,2011,187,0,0,747.121119,,,1
h01128,2011,187,278,0,0,1,,
h25112,2011,187,0,0,196.1111111,,,1
h00667,2011,187,5769.230769,990,0,1,1,
s02024,2011,187,0,0,66.25291995,,,1
h02205,2011,187,0,1550.06,0,,1,
s00766,2011,187,2742.822196,0,1964.285714,0.369047976,,1
s01758,2011,187,0,0,898.7215152,,,0.633803219
s01754,2011,187,0,0,38.42213115,,,1
h01878,2011,187,0,15750,0,,1,
s01756,2011,187,1130,0,6485.583333,0.497219829,,1
s01757,2011,187,4200,0,494.2546584,1,,1
s01750,2011,187,0,0,1243.521918,,,1
s01751,2011,187,0,0,27.8307888,,,1
h01879,2011,187,0,2482.117416,536.3897311,,0.520798177,0.591518245
s02058,2011,187,41000,5711.475,10051.19278,0.631171921,0.731762536,0.690648328
s02059,2011,187,3562.720333,0,3919.567738,0.477483684,,0.348659743
h04296,2011,187,43945.21774,0,1112.527196,0.73924754,,0.58835294
h02396,2011,187,990,0,0,1,,
s02052,2011,187,0,0,27.8307888,,,1
s02053,2011,187,4916.776667,3839.428571,0,0.408020288,1,
s02050,2011,187,3081.843823,0,9396.655789,0.364481207,,0.921986278
h00827,2011,187,5010.348535,0,744.7456725,0.761216995,,0.500402351
s02057,2011,187,0,400,18.62954023,,1,1
s02054,2011,187,1885.3,41154.35,1775.98,0.989133053,0.964684463,0.360184913
h02529,2011,187,0,0,633.9281773,,,0.514335419
